NO：C25-6083,,,,义乌市佰世威厨具有限公司销售单,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,销售日期：2026-03-15,,,,,,,,,
备用电话：,,,,,,,,,,,,,送货日期：,,,,,,,,,
送货地址：,,,,,,,,,,,,,,,,,,,,,,
"NO.
序号","DATE
订单日期","ORD NO.
销售单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片1","PHOTO2
图片1","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L
长","W
宽","H
高","CBM
体积","G.W.
重量","T.T.CBM
总体积","T.T.KGS
总重量","CODE
条形码","REK
备注","W.H.
仓位"
50,2026-03-15,C25- 6083,,DB71-05,,,"86ml Cake bowl 5pcs set 1set/display
box,unit:pcs",5,36,180,5.5,990,52,42,28.5,0.06,19,0.31,95,6665202067998,,3仓
51,2026-03-15,C25- 6083,,BW20-42,,,"9“Bowl 3pcs/inner
box;unit:pcs
23*23*6.5cm,62",5,24,120,7.2,864,48,46,25,0.06,17.4,0.28,87,6665202056381,,浦江仓
52,2026-03-15,C25- 6083,,BWT30-18,,,"6Pcs Set Soup Pot 2.5L+1.5L+1L
21*17*7cm，",50,6,300,38,11400,39.5,24.5,49,0.05,24,2.37,1200,6665202119956,,浦江仓
53,2026-03-15,C25- 6083,,NB008-12,,,"10""dinner plate 6pcs/inner box,unit:pcs
25*25*3cm",9,18,162,13.5,2187,37.7,28.5,29,0.03,15,0.28,135,6665202049239,,3仓
54,2026-03-15,C25- 6083,,NB005-12,,,"10""dinner plate 6pcs/inner box,unit:pcs
25*25*3cm",10,18,180,13.5,2430,38,28.5,29.5,0.03,15,0.32,150,6665202049024,,3仓
55,2026-03-15,C25- 6083,,XF01-01,,,"Tea Pot 1pcs/color box Unit:pcs
450ml",20,24,480,9.5,4560,41.5,40,27.5,0.05,9.5,0.91,190,6912024146029,,浦江仓
56,2026-03-15,C25- 6083,,CB-182,,,"glass ice bucket 1pcs/color box unit:pcs
Glass+wooden",5,12,60,32,1920,54,36,50,0.10,19,0.49,95,6912024140737,,东阳仓
57,2026-03-15,C25- 6083,,CRY80,,,"glass cup 2pcs/color box Unit:Set
8.8*7.6*5cm",5,12,60,16,960,41,31,22,0.03,7.9,0.14,39.5,6912024148542,,浦江仓
58,2026-03-15,C25- 6083,,SD-059,,,"3 pcs canister set
color box
Unit:set",10,8,80,33,2640,52.4,36,38.9,0.07,0,0.73,0,6912024153157,,浦江仓
59,2026-03-15,C25- 6083,,SD-054,,,"3 pcs canister set
color box
Unit:set",5,8,40,28,1120,46,31.2,36.5,0.05,11,0.26,55,6912024153102,,浦江仓
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
60,2026-03-15,C25- 6083,,T01-07,,,"450ml Mug 12pcs/egg packing;unit:pcs
φ9*10.5cm,402g",10,48,480,4.5,2160,41.3,28,44.3,0.05,20.1,0.51,201,6665202059979,,浦江仓
61,2026-03-15,C25- 6083,,1966-08,,,"1000ml Glass bottle
12pcs/display
box",5,24,120,4.6,552,56.5,38.5,35,0.08,14,0.38,70,6919660251087,,东阳仓
62,2026-03-15,C25- 6083,,1966-03,,,"1000ml Glass bottle 12pcs/display
box",5,24,120,4.6,552,58.8,39.5,35,0.08,15,0.41,75,6919660251032,,东阳仓
63,2026-03-15,C25- 6083,,1966-102,,,"1000ml Glass bottle 12pcs/display
box",5,24,120,4.6,552,55.5,35.5,32,0.06,16,0.32,80,6912024138741,,东阳仓
64,2026-03-15,C25- 6083,,XF025,,,"Glass bottle 1pcs/clour box unit:pcs
7*27cm 870ml",5,24,120,10.5,1260,44,34,59,0.09,15,0.44,75,6920241020015,,浦江仓
65,2026-03-15,C25- 6083,,BW023-1,,,"10.5""Square plate 6pcs/inner
box;unit:pcs",1,24,24,7.2,172.8,44,29.5,30,0.04,24,0.04,24,6665202063617,,浦江仓
66,2026-03-15,C25- 6083,,SB1995-36,,,"34*23.5*2cm
1184g",10,18,180,8.5,1530,37,28,26,0.03,20.5,0.27,205,6667202118984,,浦江仓
67,2026-03-15,C25- 6083,,"MF- CY55M2-
Black-BS",,,"5L/4.08L Air
Fryer 1pcs/color box,
Unit:pcs",10,2,20,163,3260,64.5,41.5,39.5,0.11,11.5,1.06,115,6952020105354,,浦江仓
68,2026-03-15,C25- 6083,,"MF- TN55M2-
White-BS",,,"5L/4.08L Air
Fryer 1pcs/color box,
Unit:pcs",30,2,60,133,7980,64.5,41.5,38.5,0.10,11.5,3.09,345,6952020105583,,浦江仓
69,2026-03-15,C25- 6083,,"MJ- BL6015W1-
BS",,,"1.5L Blender 1pcs/color box, Unit:pcs
220-240V/50-",30,2,60,99,5940,45,23,44,0.05,4.8,1.37,144,6952020105323,,浦江仓
70,2026-03-15,C25- 6083,,VF013C,,,"Vacuum Jug- 1.3L
Color
box,Unit:PCS",10,12,120,47,5640,0,0,0,0.00,0,0.00,0,6667202133529,,浦江仓
71,2026-03-15,C25- 6083,,VF012C,,,"Vacuum Jug- 1.3L
Color
box,Unit:PCS",10,12,120,47,5640,0,0,0,0.00,0,0.00,0,6667202133499,,浦江仓
72,2026-03-15,C25- 6083,,VF010B,,,"Vacuum Jug-1L Unit:PCS 9*10.5*20cm
S.S. 201",5,12,60,35,2100,52,39.5,25,0.05,6.2,0.26,31,6667202132744,,浦江仓
73,2026-03-15,C25- 6083,,VF010A,,,"Vacuum Jug- 0.6L
Unit:PCS
9*10*14.6cm",5,12,60,31,1860,52,39.5,20,0.04,5.2,0.21,26,6667202132737,,浦江仓
74,2026-03-15,C25- 6083,,VF010C,,,"Vacuum Jug- 1.5L
Unit:PCS
9*10.5*26cm",5,12,60,38,2280,52,39.5,30.8,0.06,7.2,0.32,36,6667202132751,,浦江仓
75,2026-03-15,C25- 6083,,VF011B,,,"Vacuum Jug-1L Black
Rose Glass Liner
Color",3,12,36,31,1116,69.5,53,29.5,0.11,12,0.33,36,6667202133468,,浦江仓
76,2026-03-15,C25- 6083,,VF011W,,,"Vacuum Jug-1L White
Rose Glass Liner
Color",3,12,36,31,1116,69.5,53,29.5,0.11,12,0.33,36,6667202133444,,浦江仓
77,2026-03-15,C25- 6083,,IB-05B,,,"Ironing board 1100*340*830
mm
3.4kg",10,6,60,83,4980,126,34,35,0.15,23,1.50,230,6665202109407,,浦江仓
78,2026-03-15,C25- 6083,,IB-02,,,"Ironing board 1100*300*800m
m
3.4kg",10,6,60,77,4620,126,40,31,0.16,23,1.56,230,6920240404021,,东阳仓
79,2026-03-15,C25- 6083,,IB-03,,,"Ironing board 1385*360*820m
m
5kg",10,4,40,122,4880,140,30,44,0.18,22,1.85,220,6920240404038,,东阳仓
80,2026-03-15,C25- 6083,,2501-115,,,"Coffee Cup 600ML
Unit:PCS
S.S.304+PP",10,18,180,25,4500,59.5,33,22,0.04,6.2,0.43,62,6667202129027,,东阳仓
